"outcome","predictor","x_value","yhat"
"choice_prop","stress_state","0.666666666666667",0.355153292362646
"choice_prop","stress_state","0.833333333333333",0.355153292362646
"choice_prop","stress_state","1",0.355153292362646
"choice_prop","stress_state","1.16666666666667",0.355224001578732
"choice_prop","stress_state","1.33333333333333",0.355224001578732
"choice_prop","stress_state","1.5",0.355224001578732
"choice_prop","stress_state","1.66666666666667",0.362528226614746
"choice_prop","stress_state","1.83333333333333",0.362528226614746
"choice_prop","stress_state","2",0.362528226614746
"choice_prop","stress_state","2.16666666666667",0.362854771075171
"choice_prop","stress_state","2.33333333333333",0.362854771075171
"choice_prop","stress_state","2.5",0.362854771075171
"choice_prop","stress_state","2.66666666666667",0.371733240306927
"choice_prop","stress_state","2.83333333333333",0.371733240306927
"choice_prop","stress_state","3",0.371733240306927
"choice_prop","stress_state","3.16666666666667",0.372272454108774
"choice_prop","stress_state","3.33333333333333",0.372272454108774
"choice_prop","stress_state","3.5",0.372272454108774
"choice_prop","stress_state","3.66666666666667",0.384537072860157
"choice_prop","stress_state","3.83333333333333",0.384537072860157
"choice_prop","stress_state","4",0.384537072860157
"median_rt","stress_state","0",0.771066786781348
"median_rt","stress_state","0.166666666666667",0.771066786781348
"median_rt","stress_state","0.333333333333333",0.771066786781348
"median_rt","stress_state","0.5",0.771066786781348
"median_rt","stress_state","0.666666666666667",0.788784216248997
"median_rt","stress_state","0.833333333333333",0.788784216248997
"median_rt","stress_state","1",0.788784216248997
"median_rt","stress_state","1.16666666666667",0.788956233070559
"median_rt","stress_state","1.33333333333333",0.788956233070559
"median_rt","stress_state","1.5",0.788956233070559
"median_rt","stress_state","1.66666666666667",0.793905190584852
"median_rt","stress_state","1.83333333333333",0.793905190584852
"median_rt","stress_state","2",0.793905190584852
"median_rt","stress_state","2.16666666666667",0.793680460693988
"median_rt","stress_state","2.33333333333333",0.793680460693988
"median_rt","stress_state","2.5",0.793680460693988
"median_rt","stress_state","2.66666666666667",0.789998047369171
"median_rt","stress_state","2.83333333333333",0.789998047369171
"median_rt","stress_state","3",0.789998047369171
"median_rt","stress_state","3.16666666666667",0.789214403419067
"median_rt","stress_state","3.33333333333333",0.789214403419067
"median_rt","stress_state","3.5",0.789214403419067
"median_rt","stress_state","3.66666666666667",0.772073689633561
"median_rt","stress_state","3.83333333333333",0.772073689633561
"median_rt","stress_state","4",0.772073689633561
"drift","stress_state","0",0.361530837673399
"drift","stress_state","0.166666666666667",0.361530837673399
"drift","stress_state","0.333333333333333",0.361530837673399
"drift","stress_state","0.5",0.361530837673399
"drift","stress_state","0.666666666666667",0.398003171855326
"drift","stress_state","0.833333333333333",0.398003171855326
"drift","stress_state","1",0.398003171855326
"drift","stress_state","1.16666666666667",0.398030597342074
"drift","stress_state","1.33333333333333",0.398030597342074
"drift","stress_state","1.5",0.398030597342074
"drift","stress_state","1.66666666666667",0.402369945946203
"drift","stress_state","1.83333333333333",0.402369945946203
"drift","stress_state","2",0.402369945946203
"drift","stress_state","2.16666666666667",0.402428691735509
"drift","stress_state","2.33333333333333",0.402428691735509
"drift","stress_state","2.5",0.402428691735509
"drift","stress_state","2.66666666666667",0.400779099144773
"drift","stress_state","2.83333333333333",0.400779099144773
"drift","stress_state","3",0.400779099144773
"drift","stress_state","3.16666666666667",0.400668582921379
"drift","stress_state","3.33333333333333",0.400668582921379
"drift","stress_state","3.5",0.400668582921379
"drift","stress_state","3.66666666666667",0.401469700326756
"drift","stress_state","3.83333333333333",0.401469700326756
"drift","stress_state","4",0.401469700326756
"alcbias","stress_state","0",-0.815917103054928
"alcbias","stress_state","0.166666666666667",-0.815917103054928
"alcbias","stress_state","0.333333333333333",-0.815917103054928
"alcbias","stress_state","0.5",-0.815917103054928
"alcbias","stress_state","0.666666666666667",-0.760596451970754
"alcbias","stress_state","0.833333333333333",-0.760596451970754
"alcbias","stress_state","1",-0.760596451970754
"alcbias","stress_state","1.16666666666667",-0.760070660407571
"alcbias","stress_state","1.33333333333333",-0.760070660407571
"alcbias","stress_state","1.5",-0.760070660407571
"alcbias","stress_state","1.66666666666667",-0.735091952586332
"alcbias","stress_state","1.83333333333333",-0.735091952586332
"alcbias","stress_state","2",-0.735091952586332
"alcbias","stress_state","2.16666666666667",-0.734181094320553
"alcbias","stress_state","2.33333333333333",-0.734181094320553
"alcbias","stress_state","2.5",-0.734181094320553
"alcbias","stress_state","2.66666666666667",-0.71084601068495
"alcbias","stress_state","2.83333333333333",-0.71084601068495
"alcbias","stress_state","3",-0.71084601068495
"alcbias","stress_state","3.16666666666667",-0.711517446981753
"alcbias","stress_state","3.33333333333333",-0.711517446981753
"alcbias","stress_state","3.5",-0.711517446981753
"alcbias","stress_state","3.66666666666667",-0.717062661054456
"alcbias","stress_state","3.83333333333333",-0.717062661054456
"alcbias","stress_state","4",-0.717062661054456
"B","stress_state","0",0.812984112690127
"B","stress_state","0.166666666666667",0.812984112690127
"B","stress_state","0.333333333333333",0.812984112690127
"B","stress_state","0.5",0.812984112690127
"B","stress_state","0.666666666666667",0.812421966380777
"B","stress_state","0.833333333333333",0.812421966380777
"B","stress_state","1",0.812421966380777
"B","stress_state","1.16666666666667",0.812414592181339
"B","stress_state","1.33333333333333",0.812414592181339
"B","stress_state","1.5",0.812414592181339
"B","stress_state","1.66666666666667",0.81621799022808
"B","stress_state","1.83333333333333",0.81621799022808
"B","stress_state","2",0.81621799022808
"B","stress_state","2.16666666666667",0.816235282722571
"B","stress_state","2.33333333333333",0.816235282722571
"B","stress_state","2.5",0.816235282722571
"B","stress_state","2.66666666666667",0.820090820804315
"B","stress_state","2.83333333333333",0.820090820804315
"B","stress_state","3",0.820090820804315
